Longitude_SW,Latitude_SW,Elevation
120.07468869702666,33.490683857034014,5.6273
120.07470462484727,33.490668123455116,5.6273
120.07472055266787,33.49065238987622,5.6273
120.07473648048848,33.49063665629732,5.6273
120.0747524083091,33.49062092271842,5.6273
120.07476833612971,33.49060518913952,5.6273
120.0747842639503,33.490589455560624,5.6273
120.07480019177092,33.490573721981725,5.6273
120.07481611959153,33.49055798840283,5.6273
120.07483204741213,33.49054225482393,5.6273
120.07484797523274,33.49052652124503,5.6273
120.07486390305336,33.49051078766613,5.6273
120.07487983087397,33.49049505408723,5.6273
120.07489575869457,33.490479320508335,5.6273
120.07491168651518,33.49046358692944,5.6273
120.07492761433579,33.49044785335054,5.6273
120.07494354215639,33.49043211977164,5.6273
120.074959469977,33.49041638619274,5.6273
120.07497539779762,33.49040065261384,5.6273
120.07499132561823,33.490384919034945,5.6273
120.07500725343883,33.490369185456046,5.6273
120.07502318125944,33.49035345187715,5.6273
120.07503910908005,33.49033771829825,5.6273
120.07505503690065,33.49032198471935,5.6273
120.07507096472126,33.49030625114045,5.6273
120.07508689254188,33.49029051756156,5.6273
120.07510282036249,33.49027478398266,5.6273
120.07511874818309,33.490259050403765,5.6273
120.0751346760037,33.490243316824866,5.6273
120.07515060382431,33.49022758324597,5.6273
120.07516653164491,33.49021184966707,5.6273
120.07518245946552,33.49019611608817,5.6273
120.07519838728614,33.49018038250927,5.6273
120.07521431510675,33.490164648930374,5.6273
120.07523024292735,33.490148915351476,5.6273
120.07524617074796,33.49013318177258,5.6273
120.07526209856857,33.49011744819368,5.6273
120.07527802638917,33.49010171461478,5.6273
120.07529395420978,33.49008598103588,5.6273
120.0753098820304,33.490070247456984,5.6273
120.07532580985101,33.490054513878086,5.6273
120.07534173767161,33.49003878029919,5.6273
120.07535766549222,33.49002304672029,5.6273
120.07537359331283,33.49000731314139,5.6273
120.07538952113343,33.48999157956249,5.6273
120.07540544895404,33.489975845983594,5.6273
120.07542137677466,33.489960112404695,5.6273
120.07543730459527,33.4899443788258,5.6273
120.07545323241587,33.4899286452469,5.6273
120.07546916023648,33.489912911668,5.6273
120.07520266060396,33.488751734697246,5.6273
120.07518770399193,33.48876669130928,5.6273
120.07517274737988,33.488781647921314,5.6273
120.07515779076785,33.488796604533356,5.6273
120.07514283415581,33.48881156114539,5.6273
120.07512787754376,33.488826517757424,5.6273
120.07511292093173,33.48884147436946,5.6273
120.07509796431968,33.4888564309815,5.6273
120.07508300770765,33.488871387593534,5.6273
120.07506805109561,33.48888634420557,5.6273
120.07505309448356,33.4889013008176,5.6273
120.07503813787153,33.48891625742964,5.6273
120.0750231812595,33.48893121404168,5.6273
120.07500822464745,33.48894617065371,5.6273
120.07499326803541,33.488961127265746,5.6273
120.07497831142337,33.48897608387779,5.6273
120.07496335481133,33.48899104048982,5.6273
120.0749483981993,33.489005997101856,5.6273
120.07493344158725,33.48902095371389,5.6273
120.07491848497521,33.48903591032593,5.6273
120.07490352836318,33.489050866937966,5.6273
120.07488857175113,33.48906582355,5.6273
120.0748736151391,33.489080780162034,5.6273
120.07485865852706,33.489095736774075,5.6273
120.07484370191501,33.48911069338611,5.6273
120.07482874530298,33.489125649998144,5.6273
120.07481378869093,33.48914060661018,5.6273
120.0747988320789,33.48915556322222,5.6273
120.07478387546686,33.48917051983425,5.6273
120.07476891885482,33.48918547644629,5.6273
120.07475396224278,33.48920043305832,5.6273
120.07473900563075,33.48921538967036,5.6273
120.0747240490187,33.4892303462824,5.6273
120.07470909240666,33.48924530289443,5.6273
120.07469413579463,33.489260259506466,5.6273
120.07467917918258,33.48927521611851,5.6273
120.07466422257055,33.48929017273054,5.6273
120.0746492659585,33.489305129342576,5.6273
120.07463430934646,33.48932008595461,5.6273
120.07461935273443,33.48933504256665,5.6273
120.07460439612238,33.489349999178685,5.6273
120.07458943951035,33.48936495579072,5.6273
120.07457448289831,33.489379912402754,5.6273
120.07455952628627,33.489394869014795,5.6273
120.07454456967423,33.48940982562683,5.6273
120.07452961306218,33.48942478223886,5.6273
120.07451465645015,33.4894397388509,5.6273
120.07449969983811,33.48945469546294,5.6273
120.07448474322607,33.48946965207497,5.6273
120.07446978661403,33.48948460868701,5.6273
